ID,Measurement Date,Latitude,Longitude,Fixed?,Distance(miles),Bearing,Direction,Type,Derived?,Value,Unit,Source,Description,Meter,Probe
142919,3/15/11 18:20,35.668333,139.743056,Yes,140.5605122,210,SSW,Beta,Yes,0,uCi/m2,DOE,Field Team: Swipe; Description: Parking Lot Loner Drive; Assessment: swipe;,Health Physics Kit,BP-100
142923,3/15/11 17:10,35.668333,139.743056,Yes,140.5605122,210,SSW,Beta,Yes,0.151222651,uCi/m2,DOE,Field Team: Metal; Description: Center of Embassy Roof;,Health Physics Kit,BP-100
142925,3/15/11 17:10,35.66833,139.74056,No,140.6316031,211,SSW,Gamma,Yes,0.017,mR/hr,DOE,Field Team: Metal; Description: Center of Embassy Roof;,Health Physics Kit,ADM-300
142927,3/15/11 18:15,35.668333,139.74056,No,140.6314246,211,SSW,Beta,Yes,0.308880309,uCi/m2,DOE,Field Team: Granite; Description: Embassy Parking Lot;,Health Physics Kit,BP-100
142929,3/15/11 18:17,35.668333,139.743056,Yes,140.5605122,210,SSW,Gamma,Yes,0.027,mR/hr,DOE,Field Team: Granite; Description: Embassy Parking Lot;,Health Physics Kit,ADM-300
142931,3/15/11 18:17,35.668333,139.743056,Yes,140.5605122,210,SSW,Beta,Yes,0.209137709,uCi/m2,DOE,Description: Embassy Parking Lot NE;,Health Physics Kit,BP-100
142933,3/15/11 18:17,35.668333,139.743056,Yes,140.5605122,210,SSW,Gamma,Yes,0.019,mR/hr,DOE,Description: Embassy Parking Lot Center;,Health Physics Kit,ADM-300
142935,3/16/11 22:24,35.741167,139.36101,No,148.5306061,219,SW,Gamma,Yes,0.024,mR/hr,DOE,Field Team: IN WIND ;,Health Physics Kit,ADM-300
142937,3/16/11 22:22,35.741176,139.360941,No,148.5325196,219,SW,Gamma,Yes,0.019,mR/hr,DOE,Field Team: No WIND ;,Health Physics Kit,ADM-300
142939,3/16/11 22:10,35.741172,139.360984,No,148.53124,219,SW,Gamma,Yes,0.032,mR/hr,DOE,Field Team: in WIND ;,Health Physics Kit,ADM-300
142941,3/16/11 22:09,35.741087,139.360891,No,148.5390783,219,SW,Gamma,Yes,0.017,mR/hr,DOE,Field Team: no wind ;,Health Physics Kit,ADM-300
142943,3/16/11 21:45,35.741153,139.360953,No,148.5333474,219,SW,Gamma,Yes,0.024,mR/hr,DOE,Field Team: in WIND ;,Health Physics Kit,ADM-300
142945,3/16/11 21:44,35.740208,139.362507,No,148.5304829,219,SW,Gamma,Yes,0.024,mR/hr,DOE,Field Team: NO WIND ;,Health Physics Kit,ADM-300
142947,3/16/11 23:01,35.741236,139.360936,No,148.5294449,219,SW,Gamma,Yes,0.018,mR/hr,DOE,Field Team: IN WIND ;,Health Physics Kit,ADM-300
142949,3/16/11 23:00,35.741229,139.360741,No,148.5366093,219,SW,Gamma,Yes,0.021,mR/hr,DOE,Field Team: NO WIND ;,Health Physics Kit,ADM-300
142951,3/16/11 22:46,35.741174,139.360964,No,148.5318276,219,SW,Gamma,Yes,0.025,mR/hr,DOE,Field Team: IN WIND ;,Health Physics Kit,ADM-300
142953,3/16/11 22:45,35.741123,139.360914,No,148.5363288,219,SW,Gamma,Yes,0.024,mR/hr,DOE,Field Team: No WIND ;,Health Physics Kit,ADM-300
142955,3/16/11 22:35,35.741159,139.360985,No,148.5319091,219,SW,Gamma,Yes,0.023,mR/hr,DOE,Field Team: IN WIND ;,Health Physics Kit,ADM-300
142957,3/16/11 22:34,35.741264,139.360724,No,148.5353059,219,SW,Gamma,Yes,0.019,mR/hr,DOE,Field Team: NO WIND ;,Health Physics Kit,ADM-300
142959,3/15/11 6:20,35.668333,139.743056,Yes,140.5605122,210,SSW,Beta,Yes,0.18018018,uCi/m2,DOE,Description: Parking Lot Lower Drive;,Health Physics Kit,BP-100
142963,3/16/11 19:37,35.668524,139.743352,Yes,140.5407405,210,SSW,Gamma,Yes,0.027,mR/hr,DOE,"Description: Roof of the US Embassy in Tokyo, JP;",Health Physics Kit,ADM-300
142965,3/15/11 18:25,35.668333,139.743056,Yes,140.5605122,210,SSW,Beta,Yes,0.0997426,uCi/m2,DOE,Description: Embassy Parking Lot Gate;,Health Physics Kit,BP-100
142967,3/16/11 19:37,35.668524,139.743352,Yes,140.5407405,210,SSW,Beta,Yes,0.250965251,uCi/m2,DOE,"Description: Rooftop of US Embassy in Tokyo, Japan;",Health Physics Kit,BP-100
142969,3/16/11 19:37,35.668524,139.743352,Yes,140.5407405,210,SSW,Gamma,Yes,0.017,mR/hr,DOE,"Description: Middle of roof of US Embassy in Tokyo, Japan;",Health Physics Kit,ADM-300
142971,3/16/11 19:37,35.668524,139.743352,Yes,140.5407405,210,SSW,Beta,Yes,0.318532819,uCi/m2,DOE,"Description: Middle of roof of US Embassy in Tokyo, Japan;",Health Physics Kit,BP-100
142977,3/16/11 19:37,35.668524,139.743352,Yes,140.5407405,210,SSW,Beta,Yes,0.344272844,uCi/m2,DOE,"Description: Top of metal fence on roof of US Embassy in Tokyo, Japan;",Health Physics Kit,BP-100
142981,3/16/11 20:52,35.668524,139.743352,Yes,140.5407405,210,SSW,Gamma,Yes,0.028,mR/hr,DOE,Description: Top of granite wall at US Embassy entrance;,Health Physics Kit,ADM-300
142983,3/16/11 20:52,35.668524,139.743352,Yes,140.5407405,210,SSW,Beta,Yes,0.444015444,uCi/m2,DOE,Description: Top of granite wall at US Embassy entrance;,Health Physics Kit,BP-100
142985,3/16/11 20:57,35.668524,139.743352,Yes,140.5407405,210,SSW,Gamma,Yes,0.021,mR/hr,DOE,Description: Cement star emblem at US Embassy entrance;,Health Physics Kit,ADM-300
142989,3/16/11 20:57,35.668524,139.743352,Yes,140.5407405,210,SSW,Beta,Yes,0.199485199,uCi/m2,DOE,Description: Cement star emblem at US Embassy entrance;,Health Physics Kit,BP-100
142991,3/16/11 21:57,35.668524,139.743352,Yes,140.5407405,210,SSW,Gamma,Yes,0.018,mR/hr,DOE,Description: Metal top of wall on roof of Harris building;,Health Physics Kit,ADM-300
142993,3/16/11 21:57,35.668524,139.743352,Yes,140.5407405,210,SSW,Beta,Yes,0.788288288,uCi/m2,DOE,Description: Metal top of wall on roof of Harris building;,Health Physics Kit,BP-100
142995,3/16/11 22:02,35.668524,139.743352,Yes,140.5407405,210,SSW,Gamma,Yes,0.015,mR/hr,DOE,Description: Top of metal vent cover on roof of Harris building;,Health Physics Kit,ADM-300
142997,3/16/11 22:02,35.668524,139.743352,Yes,140.5407405,210,SSW,Beta,Yes,0.176962677,uCi/m2,DOE,Description: Top of metal vent cover on roof of Harris building;,Health Physics Kit,BP-100
